dev_uuid,dev_addr,dev_mac,time_epoch,command,ens160_aqi,ens160_tvoc,ens160_eco2,sen22396_co2,sen22396_temperature,sen22396_humidity,mlx90614_object_temperature,mlx90614_ambient_temperature
,192.168.0.185,30196c188534,1747775892489,post,1.0,39.0,434.0,2290.0,22.81,61.94,21.85,24.35
,192.168.0.185,30196c188534,1747775897489,post,1.0,39.0,434.0,2290.0,22.81,61.94,21.85,24.35
,192.168.0.185,30196c188534,1747775902589,post,1.0,39.0,434.0,2290.0,22.81,61.94,21.85,24.35
,192.168.0.185,30196c188534,1747775907595,post,1.0,42.0,441.0,2292.0,22.68,62.5,21.95,24.37
,192.168.0.185,30196c188534,1747775917812,post,1.0,42.0,440.0,2298.0,22.57,62.81,22.05,24.39
